sentence1	sentence2	gold_label
The economy is poor.	The economy is indigent	contradiction
The economy is indigent	The economy is poor.	entailment
The economy is efficient.	The economy is optimum	contradiction
The potter is disappointed.	The potter is frustrated	contradiction
The metro is crowded.	The metro is packed	contradiction
The metro is packed	The metro is crowded.	entailment
The medication is expensive.	The medication is exorbitant	contradiction
The medication is exorbitant	The medication is expensive.	entailment
The trend is bleak.	The trend is desperate	contradiction
The trend is desperate	The trend is bleak.	entailment
The conclusion is disgusting	The conclusion is unpleasant.	entailment
The dream is scary.	The dream is frightening	contradiction
The dream is frightening	The dream is scary.	entailment
The chicken is hungry.	The chicken is starving	contradiction
The chicken is starving	The chicken is hungry.	entailment
The mall is packed	The mall is crowded.	entailment
The laser is efficient.	The laser is optimum	contradiction
The laser is optimum	The laser is efficient.	entailment
The alexander is angry.	The alexander is furious	contradiction
The alexander is furious	The alexander is angry.	entailment
The asset is valuable.	The asset is priceless	contradiction
The work is valuable.	The work is priceless	contradiction
The work is priceless	The work is valuable.	entailment
The boss is disappointed.	The boss is frustrated	contradiction
The boss is frustrated	The boss is disappointed.	entailment
The product is tasty.	The product is delicious	contradiction
The noise is annoying.	The noise is obnoxious	contradiction
The noise is obnoxious	The noise is annoying.	entailment
The beach is vivacious	The beach is lively.	entailment
The web is funny.	The web is hilarious	contradiction
The web is hilarious	The web is funny.	entailment
The place is scary.	The place is frightening	contradiction
The place is frightening	The place is scary.	entailment
The kitchen is efficient.	The kitchen is optimum	contradiction
The kitchen is optimum	The kitchen is efficient.	entailment
The vista is clear.	The vista is exact	contradiction
The vista is exact	The vista is clear.	entailment
The sound is annoying.	The sound is obnoxious	contradiction
The sound is obnoxious	The sound is annoying.	entailment
The other is annoying.	The other is obnoxious	contradiction
The other is obnoxious	The other is annoying.	entailment
The reed is cute.	The reed is gorgeous	contradiction
The reed is gorgeous	The reed is cute.	entailment
The reality is tough.	The reality is formidable	contradiction
The reality is formidable	The reality is tough.	entailment
The dvd is funny.	The dvd is hilarious	contradiction
The dvd is hilarious	The dvd is funny.	entailment
The situation is frightening	The situation is scary.	entailment
The recipe is tasty.	The recipe is delicious	contradiction
The recipe is delicious	The recipe is tasty.	entailment
The packaging is appropriate.	The packaging is perfect	contradiction
The packaging is perfect	The packaging is appropriate.	entailment
The concept is scary.	The concept is frightening	contradiction
The concept is frightening	The concept is scary.	entailment
The manner is perfect	The manner is appropriate.	entailment
The air is hot.	The air is boiling	contradiction
The air is boiling	The air is hot.	entailment
The chief is angry.	The chief is furious	contradiction
The chief is furious	The chief is angry.	entailment
The term is unusual.	The term is rare	contradiction
The result is appropriate.	The result is perfect	contradiction
The result is perfect	The result is appropriate.	entailment
The tone is terrific	The tone is positive.	entailment
The duke is hungry.	The duke is starving	contradiction
The duke is starving	The duke is hungry.	entailment
The play is funny.	The play is hilarious	contradiction
The play is hilarious	The play is funny.	entailment
The movie is scary.	The movie is frightening	contradiction
The movie is frightening	The movie is scary.	entailment
The market is desperate	The market is bleak.	entailment
The tone is perfect	The tone is appropriate.	entailment
The bar is packed	The bar is crowded.	entailment
The humor is bleak.	The humor is desperate	contradiction
The humor is desperate	The humor is bleak.	entailment
The military is exorbitant	The military is expensive.	entailment
The moral is clear.	The moral is exact	contradiction
The mayor is angry.	The mayor is furious	contradiction
The mayor is furious	The mayor is angry.	entailment
The processor is optimum	The processor is efficient.	entailment
The jimmy is angry.	The jimmy is furious	contradiction
The jimmy is furious	The jimmy is angry.	entailment
The thing is funny.	The thing is hilarious	contradiction
The thing is hilarious	The thing is funny.	entailment
The focus is appropriate.	The focus is perfect	contradiction
The focus is perfect	The focus is appropriate.	entailment
The parallel is odd.	The parallel is bizarre	contradiction
The parallel is bizarre	The parallel is odd.	entailment
The camcorder is expensive.	The camcorder is exorbitant	contradiction
The atmosphere is unpleasant.	The atmosphere is disgusting	contradiction
The atmosphere is disgusting	The atmosphere is unpleasant.	entailment
The context is valuable.	The context is priceless	contradiction
The variety is tasty.	The variety is delicious	contradiction
The gas is boiling	The gas is hot.	entailment
The truth is awful.	The truth is dreadful	contradiction
The outlook is weak.	The outlook is feeble	contradiction
The christmas is scary.	The christmas is frightening	contradiction
The christmas is frightening	The christmas is scary.	entailment
The theatre is lively.	The theatre is vivacious	contradiction
The theatre is vivacious	The theatre is lively.	entailment
The history is plenty.	The history is abundant	contradiction
The history is abundant	The history is plenty.	entailment
The mind is efficient.	The mind is optimum	contradiction
The mind is optimum	The mind is efficient.	entailment
The marketplace is lively.	The marketplace is vivacious	contradiction
The timing is odd.	The timing is bizarre	contradiction
The timing is bizarre	The timing is odd.	entailment
The machine is optimum	The machine is efficient.	entailment
The music is awful.	The music is dreadful	contradiction
The music is dreadful	The music is awful.	entailment
The mood is sad.	The mood is miserable	contradiction
The shop is vivacious	The shop is lively.	entailment
The villa is exorbitant	The villa is expensive.	entailment
The mind is clever.	The mind is brilliant	contradiction
The mind is brilliant	The mind is clever.	entailment
The fan is annoying.	The fan is obnoxious	contradiction
The fan is obnoxious	The fan is annoying.	entailment
The dialogue is funny.	The dialogue is hilarious	contradiction
The dialogue is hilarious	The dialogue is funny.	entailment
The logic is odd.	The logic is bizarre	contradiction
The logic is bizarre	The logic is odd.	entailment
The yield is positive.	The yield is terrific	contradiction
The government is disappointed.	The government is frustrated	contradiction
The government is frustrated	The government is disappointed.	entailment
The process is dangerous.	The process is risky	contradiction
The process is risky	The process is dangerous.	entailment
The choice is clear.	The choice is exact	contradiction
The choice is exact	The choice is clear.	entailment
The team is skilled	The team is capable.	entailment
The rating is terrific	The rating is positive.	entailment
The cold is awful.	The cold is dreadful	contradiction
The cold is dreadful	The cold is awful.	entailment
The president is capable.	The president is skilled	contradiction
The president is skilled	The president is capable.	entailment
The man is dangerous.	The man is risky	contradiction
The guy is funny.	The guy is hilarious	contradiction
The guy is hilarious	The guy is funny.	entailment
The iron is hot.	The iron is boiling	contradiction
The iron is boiling	The iron is hot.	entailment
The ground is dirty.	The ground is filthy	contradiction
The ground is filthy	The ground is dirty.	entailment
The assessment is bleak.	The assessment is desperate	contradiction
The assessment is desperate	The assessment is bleak.	entailment
The effect is positive.	The effect is terrific	contradiction
The effect is terrific	The effect is positive.	entailment
The ringtone is annoying.	The ringtone is obnoxious	contradiction
The ringtone is obnoxious	The ringtone is annoying.	entailment
The place is bleak.	The place is desperate	contradiction
The place is desperate	The place is bleak.	entailment
The greek is odd.	The greek is bizarre	contradiction
The greek is bizarre	The greek is odd.	entailment
The kid is clever.	The kid is brilliant	contradiction
The kid is brilliant	The kid is clever.	entailment
The evidence is plenty.	The evidence is abundant	contradiction
The evidence is abundant	The evidence is plenty.	entailment
The jewellery is expensive.	The jewellery is exorbitant	contradiction
The jewellery is exorbitant	The jewellery is expensive.	entailment
The miller is happy.	The miller is delighted	contradiction
The miller is delighted	The miller is happy.	entailment
The emphasis is appropriate.	The emphasis is perfect	contradiction
The emphasis is perfect	The emphasis is appropriate.	entailment
The distance is plenty.	The distance is abundant	contradiction
The timing is perfect	The timing is appropriate.	entailment
The noise is awful.	The noise is dreadful	contradiction
The noise is dreadful	The noise is awful.	entailment
The bathroom is dirty.	The bathroom is filthy	contradiction
The bathroom is filthy	The bathroom is dirty.	entailment
The village is lively.	The village is vivacious	contradiction
The village is vivacious	The village is lively.	entailment
The ending is awful.	The ending is dreadful	contradiction
The ending is dreadful	The ending is awful.	entailment
The signal is weak.	The signal is feeble	contradiction
The signal is feeble	The signal is weak.	entailment
The rap is funny.	The rap is hilarious	contradiction
The rap is hilarious	The rap is funny.	entailment
The roulette is dirty.	The roulette is filthy	contradiction
The roulette is filthy	The roulette is dirty.	entailment
The economy is bleak.	The economy is desperate	contradiction
The economy is desperate	The economy is bleak.	entailment
The complexity is surprising.	The complexity is astounding	contradiction
The complexity is astounding	The complexity is surprising.	entailment
The soup is hot.	The soup is boiling	contradiction
The soup is boiling	The soup is hot.	entailment
The thompson is positive.	The thompson is terrific	contradiction
The thompson is terrific	The thompson is positive.	entailment
The team is gutted	The team is disappointed.	entailment
The evaluation is positive.	The evaluation is terrific	contradiction
The evaluation is terrific	The evaluation is positive.	entailment
The taste is unpleasant.	The taste is disgusting	contradiction
The noise is unpleasant.	The noise is disgusting	contradiction
The noise is disgusting	The noise is unpleasant.	entailment
The kid is annoying.	The kid is obnoxious	contradiction
The kid is obnoxious	The kid is annoying.	entailment
The villa is nice.	The villa is lovely	contradiction
The villa is lovely	The villa is nice.	entailment
The boss is happy.	The boss is delighted	contradiction
The boss is delighted	The boss is happy.	entailment
The film is scary.	The film is frightening	contradiction
The film is frightening	The film is scary.	entailment
The ipod is sad.	The ipod is miserable	contradiction
The teacher is happy.	The teacher is delighted	contradiction
The teacher is delighted	The teacher is happy.	entailment
The name is odd.	The name is bizarre	contradiction
The name is bizarre	The name is odd.	entailment
The lounge is packed	The lounge is crowded.	entailment
The company is efficient.	The company is optimum	contradiction
The company is optimum	The company is efficient.	entailment
The villa is low.	The villa is limited	contradiction
The villa is limited	The villa is low.	entailment
The thing is frightening	The thing is scary.	entailment
The film is awful.	The film is dreadful	contradiction
The film is dreadful	The film is awful.	entailment
The region is poor.	The region is indigent	contradiction
The region is indigent	The region is poor.	entailment
The world is odd.	The world is bizarre	contradiction
The world is bizarre	The world is odd.	entailment
The sky is bleak.	The sky is desperate	contradiction
The hotel is expensive.	The hotel is exorbitant	contradiction
The hotel is exorbitant	The hotel is expensive.	entailment
The doll is cute.	The doll is gorgeous	contradiction
The story is unusual.	The story is rare	contradiction
The story is rare	The story is unusual.	entailment
The farmer is disappointed.	The farmer is frustrated	contradiction
The context is appropriate.	The context is perfect	contradiction
The context is perfect	The context is appropriate.	entailment
The outlook is indigent	The outlook is poor.	entailment
The reality is astounding	The reality is surprising.	entailment
The warehouse is crowded.	The warehouse is packed	contradiction
The warehouse is packed	The warehouse is crowded.	entailment
The show is hilarious	The show is funny.	entailment
The universe is hungry.	The universe is starving	contradiction
The universe is starving	The universe is hungry.	entailment
The medicine is exorbitant	The medicine is expensive.	entailment
The oracle is clear.	The oracle is exact	contradiction
The oracle is exact	The oracle is clear.	entailment
The story is disgusting	The story is unpleasant.	entailment
The result is unusual.	The result is rare	contradiction
The result is rare	The result is unusual.	entailment
The press is hungry.	The press is starving	contradiction
The press is starving	The press is hungry.	entailment
The orgy is crowded.	The orgy is packed	contradiction
The orgy is packed	The orgy is crowded.	entailment
The situation is unpleasant.	The situation is disgusting	contradiction
The situation is disgusting	The situation is unpleasant.	entailment
The attention is annoying.	The attention is obnoxious	contradiction
The attention is obnoxious	The attention is annoying.	entailment
The villa is happy.	The villa is delighted	contradiction
The villa is delighted	The villa is happy.	entailment
The ringtone is funny.	The ringtone is hilarious	contradiction
The ringtone is hilarious	The ringtone is funny.	entailment
The president is disappointed.	The president is frustrated	contradiction
The president is frustrated	The president is disappointed.	entailment
The man is capable.	The man is skilled	contradiction
The procedure is rare	The procedure is unusual.	entailment
The manager is disappointed.	The manager is frustrated	contradiction
The memorabilia is valuable.	The memorabilia is priceless	contradiction
The memorabilia is priceless	The memorabilia is valuable.	entailment
The company is valuable.	The company is priceless	contradiction
The scale is odd.	The scale is bizarre	contradiction
The reed is long.	The reed is endless	contradiction
The reed is endless	The reed is long.	entailment
The noise is scary.	The noise is frightening	contradiction
The forest is scary.	The forest is frightening	contradiction
The forest is frightening	The forest is scary.	entailment
The brain is efficient.	The brain is optimum	contradiction
The scene is unpleasant.	The scene is disgusting	contradiction
The scene is disgusting	The scene is unpleasant.	entailment
The duke is tired.	The duke is exhausted	contradiction
The guy is tough.	The guy is formidable	contradiction
The guy is formidable	The guy is tough.	entailment
The machine is brilliant	The machine is clever.	entailment
The thing is annoying.	The thing is obnoxious	contradiction
The thing is obnoxious	The thing is annoying.	entailment
The meat is tasty.	The meat is delicious	contradiction
The meat is delicious	The meat is tasty.	entailment
The secret is scary.	The secret is frightening	contradiction
The secret is frightening	The secret is scary.	entailment
The idea is annoying.	The idea is obnoxious	contradiction
The idea is obnoxious	The idea is annoying.	entailment
The process is annoying.	The process is obnoxious	contradiction
The process is obnoxious	The process is annoying.	entailment
The smith is terrific	The smith is positive.	entailment
The producer is gutted	The producer is disappointed.	entailment
The commonwealth is capable.	The commonwealth is skilled	contradiction
The commonwealth is skilled	The commonwealth is capable.	entailment
The consumer is disappointed.	The consumer is gutted	contradiction
The consumer is gutted	The consumer is disappointed.	entailment
The vista is nice.	The vista is lovely	contradiction
The neighborhood is bleak.	The neighborhood is desperate	contradiction
The city is crowded.	The city is packed	contradiction
The city is packed	The city is crowded.	entailment
The decor is awful.	The decor is dreadful	contradiction
The decor is dreadful	The decor is awful.	entailment
The place is funny.	The place is hilarious	contradiction
The reader is wise.	The reader is sagacious	contradiction
The reader is sagacious	The reader is wise.	entailment
The girl is cute.	The girl is gorgeous	contradiction
The girl is gorgeous	The girl is cute.	entailment
The logic is clear.	The logic is exact	contradiction
The beach is wet.	The beach is soaking	contradiction
The beach is soaking	The beach is wet.	entailment
The guy is gorgeous	The guy is cute.	entailment
The sea is hungry.	The sea is starving	contradiction
The sea is starving	The sea is hungry.	entailment
The owner is disappointed.	The owner is gutted	contradiction
The earth is wet.	The earth is soaking	contradiction
The earth is soaking	The earth is wet.	entailment
The weather is hot.	The weather is boiling	contradiction
The weather is boiling	The weather is hot.	entailment
The difference is unpleasant.	The difference is disgusting	contradiction
The difference is disgusting	The difference is unpleasant.	entailment
The behavior is unusual.	The behavior is rare	contradiction
The behavior is rare	The behavior is unusual.	entailment
The smith is unusual.	The smith is rare	contradiction
The smith is rare	The smith is unusual.	entailment
The reaction is astounding	The reaction is surprising.	entailment
The port is crowded.	The port is packed	contradiction
The port is packed	The port is crowded.	entailment
The walker is obnoxious	The walker is annoying.	entailment
The minimum is plenty.	The minimum is abundant	contradiction
The minimum is abundant	The minimum is plenty.	entailment
The platform is valuable.	The platform is priceless	contradiction
The platform is priceless	The platform is valuable.	entailment
The cheese is tasty.	The cheese is delicious	contradiction
The public is hungry.	The public is starving	contradiction
The public is starving	The public is hungry.	entailment
The drink is delicious	The drink is tasty.	entailment
The brain is clever.	The brain is brilliant	contradiction
The brain is brilliant	The brain is clever.	entailment
The rest is surprising.	The rest is astounding	contradiction
The rest is astounding	The rest is surprising.	entailment
The enemy is annoying.	The enemy is obnoxious	contradiction
The enemy is obnoxious	The enemy is annoying.	entailment
The government is angry.	The government is furious	contradiction
The economy is positive.	The economy is terrific	contradiction
The economy is terrific	The economy is positive.	entailment
The news is unpleasant.	The news is disgusting	contradiction
The news is disgusting	The news is unpleasant.	entailment
The consumer is efficient.	The consumer is optimum	contradiction
The consumer is optimum	The consumer is efficient.	entailment
The emphasis is positive.	The emphasis is terrific	contradiction
The emphasis is terrific	The emphasis is positive.	entailment
The hardware is capable.	The hardware is skilled	contradiction
The hardware is skilled	The hardware is capable.	entailment
The answer is plenty.	The answer is abundant	contradiction
The answer is abundant	The answer is plenty.	entailment
The child is hungry.	The child is starving	contradiction
The child is starving	The child is hungry.	entailment
The price is low.	The price is limited	contradiction
The ride is expensive.	The ride is exorbitant	contradiction
The ride is exorbitant	The ride is expensive.	entailment
The owner is angry.	The owner is furious	contradiction
The ocean is risky	The ocean is dangerous.	entailment
The bread is tasty.	The bread is delicious	contradiction
The bread is delicious	The bread is tasty.	entailment
The music is unpleasant.	The music is disgusting	contradiction
The music is disgusting	The music is unpleasant.	entailment
The crowd is lively.	The crowd is vivacious	contradiction
The crowd is vivacious	The crowd is lively.	entailment
The reaction is optimum	The reaction is efficient.	entailment
The dinner is tasty.	The dinner is delicious	contradiction
